WATERBODY_TYPE,ANC_UEQ_L (Acid Neutralizing Capacity),CA_UEQ_L (Calcium),CL_UEQ_L (Chloride),COND_UM_CM (Conductivity),K_UEQ_L (potassium),MG_UEQ_L (magnesium),NA_UEQ_L (sodium),NH4_UEQ_L (Amonium),NO3_UEQ_L (Nitrate),PH_LAB (PH Level),SIO2_MG_L (silicon dioxicde),SO4_UEQ_L (sulfate)
Lake,-9.40,46.40,7.80,18.10,6.40,13.20,17.80,,13.00,4.90,,92.00
Lake,111.70,136.70,63.00,26.60,7.90,37.80,68.70,,0.70,6.61,,43.70
Lake,16.10,43.40,101.00,24.60,8.20,28.00,109.20,,0.00,6.06,2.06,66.00
Lake,28.50,57.40,75.00,,5.10,28.80,87.00,,0.00,,,58.00
Lake,42.50,62.40,77.00,20.00,6.60,34.50,93.10,,0.00,,,61.00
Lake,47.10,44.90,79.00,22.00,7.90,28.80,92.20,,0.50,6.70,2.57,53.00
Lake,-36.80,24.00,70.00,28.00,3.80,20.60,89.20,,1.00,,3.43,96.00
Lake,-14.30,21.50,61.90,23.70,5.90,18.90,88.70,,0.00,4.80,,80.70
Lake,-23.70,22.00,82.10,28.50,9.10,20.00,84.30,,0.20,4.61,4.68,66.10
Lake,69.30,74.90,90.00,26.60,9.50,37.00,101.80,,0.50,6.72,0.21,49.00
Lake,137.00,132.20,12.00,26.30,4.60,38.70,29.60,,0.00,6.70,1.07,48.00
Lake,55.00,78.30,49.40,20.60,7.90,31.30,74.80,,0.00,6.47,3.26,51.00
Lake,57.40,76.50,31.30,18.50,5.80,29.50,64.00,,0.00,6.53,4.32,52.10
Lake,185.00,153.70,18.00,29.60,23.00,32.90,71.30,,0.00,7.39,6.62,62.00
Lake,200.10,169.70,18.00,31.00,24.80,35.40,78.70,,0.00,7.13,6.43,53.00
Lake,204.50,149.80,16.10,27.70,23.90,33.90,74.80,,0.10,7.03,7.85,45.00
Lake,-41.30,12.50,43.00,24.20,5.40,15.60,37.80,,0.60,4.39,0.09,51.00
Lake,41.00,78.30,64.00,25.60,5.60,33.70,92.70,,0.00,6.44,3.06,77.00
Lake,-0.20,18.50,29.00,9.60,4.60,13.20,33.50,,0.00,5.40,,34.50
Lake,-0.30,16.40,23.10,8.40,4.90,11.50,30.20,,0.60,5.47,0.02,24.60
Lake,-23.10,96.80,58.00,33.00,10.00,48.50,73.50,,3.80,4.59,4.35,57.00
Lake,30.30,45.60,40.30,16.10,5.90,21.60,75.10,,0.00,6.15,,48.10
Lake,47.64,65.02,10.08,13.90,5.73,31.15,31.18,,0.00,6.06,2.46,32.74
Lake,61.13,82.02,15.31,16.53,11.55,39.94,39.81,,0.00,6.07,3.35,35.31
Lake,61.13,59.88,62.78,20.28,5.76,28.99,91.33,,0.00,6.41,3.39,31.25
Lake,69.15,159.60,64.70,17.10,4.00,50.00,56.60,,0.10,6.46,4.88,44.50
Lake,207.45,183.20,17.90,30.30,25.30,41.00,68.50,,0.70,7.11,9.13,41.10
Lake,-28.57,17.92,33.28,15.50,3.41,12.23,32.55,,0.00,4.59,0.01,16.88
Lake,50.50,64.50,59.00,18.90,7.40,35.20,81.30,,0.78,6.31,5.10,38.70
Lake,15.49,39.60,73.38,17.30,5.64,23.18,89.00,,0.31,5.99,2.19,42.79
Lake,48.78,56.32,47.49,14.90,4.81,19.58,75.47,,0.45,6.30,0.42,33.43
Lake,103.98,117.09,45.99,22.87,7.86,28.99,62.41,,0.65,6.63,0.61,23.43
Lake,1.05,15.02,31.34,9.11,4.63,10.96,23.48,,0.61,5.43,0.03,16.11
Lake,42.85,56.56,48.77,20.20,7.55,23.69,79.43,,1.03,6.34,0.77,41.71
Lake,146.50,154.50,16.00,22.00,2.90,46.30,27.90,,0.00,6.75,1.15,21.70
Lake,-26.60,13.00,47.00,17.00,5.70,12.30,40.00,,0.60,4.58,0.02,19.30
Lake,40.50,64.50,82.00,20.20,8.30,28.60,102.30,,0.90,6.16,3.75,38.80
Lake,-7.00,46.40,11.80,17.30,10.50,27.30,25.70,,0.16,,,97.50
Lake,3.60,37.00,7.10,14.10,8.60,25.20,19.80,,0.38,,,65.00
Lake,9.80,34.90,7.30,13.10,7.80,27.60,22.40,,0.00,,,79.10
Lake,7.80,33.40,10.20,12.80,11.30,23.00,23.50,,2.10,,2.96,44.60
Lake,25.20,60.40,9.30,15.80,12.00,29.80,22.60,,0.16,,,79.10
Lake,27.90,56.00,11.00,16.10,11.90,29.30,23.00,,0.00,,,73.70
Lake,40.20,106.40,,22.00,,47.50,,,,,,111.70
Lake,39.20,76.80,9.00,16.30,4.00,31.60,19.90,,0.32,,,70.60
Lake,51.20,85.30,9.00,19.40,5.60,36.40,22.30,,1.44,,2.08,58.40
Lake,38.20,86.80,10.20,16.80,6.10,26.60,25.30,,0.32,,0.70,82.60
Lake,2.20,60.50,,22.00,,24.90,,,,,,93.20
Lake,-1.60,53.40,9.90,19.30,12.30,22.40,27.20,,2.50,,,112.40
Lake,-0.40,68.40,10.20,20.50,10.10,23.00,30.70,,1.49,,,110.10
Lake,,78.50,19.20,16.00,,33.60,,,,,,92.20
Lake,18.00,57.90,21.40,15.50,4.40,23.00,29.40,,0.97,,,75.00
Lake,17.00,56.90,18.60,15.60,4.60,22.50,30.70,,0.32,,,73.30
Lake,18.20,57.40,17.50,15.30,4.80,23.30,30.40,,0.00,,,68.70
Lake,17.10,103.80,12.20,20.90,8.30,32.60,20.20,,0.43,,,99.10
Lake,4.20,58.90,5.50,16.30,5.60,20.90,13.70,,0.43,,,64.30
Lake,5.00,52.40,7.30,14.90,6.40,23.90,17.80,,0.47,,1.06,66.00
Lake,-15.20,52.90,9.90,21.00,10.20,24.00,22.20,,1.60,,,91.60
Lake,-9.20,32.10,6.50,14.90,7.00,18.30,20.20,,0.32,,,68.90
Lake,64.00,105.30,9.60,16.90,5.60,22.20,24.80,,0.11,,1.26,48.50
Lake,-14.20,35.60,11.70,19.00,3.60,17.90,14.20,,3.81,,,74.20
Lake,-9.20,,,16.00,,,,,,,,
Lake,-7.20,30.80,11.30,11.70,2.20,14.60,14.40,,2.10,,0.93,61.20
Lake,-7.20,30.40,11.80,12.60,2.90,16.20,16.30,,2.73,,0.70,59.70
Lake,15.60,63.90,8.20,15.60,6.40,21.30,21.50,,0.97,,,75.20
Lake,24.40,70.40,11.00,17.90,8.30,24.70,25.70,,1.13,,3.04,72.00
Lake,29.40,84.30,15.20,16.10,9.80,28.00,28.70,,0.32,,3.87,66.80
Lake,23.80,51.40,17.50,13.20,4.60,22.20,29.10,,0.81,,2.64,60.80
Lake,-6.40,28.40,11.60,11.50,2.60,14.80,14.40,,3.38,,1.10,45.60
Lake,72.20,120.26,10.44,19.00,5.88,23.86,24.80,,1.45,,2.96,54.76
Lake,71.00,99.30,7.62,17.60,4.60,19.75,22.62,,0.05,,1.27,42.06
Lake,-3.20,24.95,9.03,12.30,9.21,14.81,20.01,,1.45,,2.99,35.81
Lake,-16.80,71.86,767.31,112.00,8.19,26.33,735.15,,0.03,,0.30,41.22
Lake,37.20,47.90,7.70,10.80,8.70,22.22,19.58,,0.01,,2.44,29.98
Lake,9.00,32.44,11.00,11.64,11.77,14.81,24.80,,2.74,,3.10,50.80
Lake,5.40,30.94,6.49,9.96,4.35,12.34,24.80,,0.32,,2.64,56.21
Lake,69.20,84.83,9.31,14.74,4.60,27.98,29.15,,0.32,,2.24,33.73
Lake,26.80,27.74,7.33,10.05,8.72,22.55,23.62,,0.32,,0.89,26.86
Lake,36.40,55.64,16.08,13.18,4.45,22.38,31.97,,0.32,,3.43,42.06
Lake,82.60,134.63,11.00,19.10,5.37,24.77,28.84,,2.58,,3.00,44.97
Lake,0.60,27.30,12.69,9.96,3.20,14.07,18.10,,2.74,,0.59,33.10
Lake,10.60,26.40,9.87,7.83,2.17,13.50,15.62,,0.32,,0.99,29.98
Lake,19.00,23.50,5.64,8.67,5.58,21.32,20.97,,0.32,,0.39,21.84
Lake,8.00,59.63,10.43,14.28,11.67,21.23,19.14,,0.21,,4.38,22.26
Lake,5.00,39.82,779.45,94.99,4.84,18.27,685.34,,0.32,,0.24,40.14
Lake,64.80,163.70,11.80,27.00,9.00,44.50,33.10,1.10,7.50,,4.77,137.40
Lake,34.10,141.70,9.50,33.50,11.50,41.10,28.70,1.50,47.10,,3.81,116.50
Lake,48.00,169.20,12.90,31.40,11.10,50.20,32.60,1.70,25.40,,4.80,136.80
Lake,12.70,116.80,6.80,,3.60,23.90,20.90,2.10,15.00,,3.60,100.60
Lake,42.30,106.80,7.80,19.70,2.50,21.30,19.50,2.20,2.10,,1.79,100.40
Lake,44.60,107.80,6.30,18.50,5.50,23.00,26.30,0.30,1.90,,0.46,94.30
Lake,49.00,99.30,6.90,21.80,4.20,23.90,20.40,4.80,0.10,,0.19,94.30
Lake,-0.40,99.80,10.20,32.50,10.70,25.50,18.30,,26.40,,3.80,118.70
Lake,0.20,87.80,7.10,34.70,13.00,28.80,28.30,,20.70,,4.00,149.90
Lake,9.30,92.30,8.20,23.30,13.00,27.10,26.50,,21.40,,3.60,135.70
Lake,4.10,85.30,10.70,25.10,11.80,22.20,26.10,0.70,22.10,,3.95,122.60
Lake,12.50,88.80,9.70,27.90,17.00,23.90,28.70,2.30,25.90,,3.74,117.80
Lake,5.60,89.00,12.10,24.60,9.70,25.50,25.20,1.10,17.10,,4.18,118.00
Lake,-4.00,96.00,7.60,29.60,11.80,27.20,25.70,2.20,32.80,,4.77,132.00
Lake,-4.30,91.00,9.90,29.30,11.80,28.00,23.90,2.20,36.40,,5.03,137.00
Lake,-2.60,99.50,10.00,22.10,10.10,27.10,30.60,0.30,32.30,,4.96,122.60
Lake,-75.50,18.00,4.80,24.00,3.10,6.60,4.30,1.40,0.00,,0.06,66.40
Lake,-62.50,47.40,9.80,29.60,6.30,21.40,8.20,0.90,0.00,,0.62,73.80
Lake,-46.90,25.40,8.90,23.80,8.40,18.10,7.10,1.70,0.00,,0.08,40.00
Lake,-53.50,42.40,9.70,29.00,8.90,23.90,8.20,1.50,0.10,,0.01,63.20
Lake,89.10,159.00,14.10,30.60,12.80,58.40,39.20,2.20,19.30,,7.69,126.00
Lake,38.40,131.90,10.80,26.30,9.00,39.90,32.90,1.90,23.50,,7.52,145.90
Lake,28.40,126.70,11.00,34.50,14.60,37.80,42.60,,27.10,,6.80,146.40
Lake,20.90,104.30,10.40,24.40,13.00,29.60,28.70,0.70,22.80,,5.12,129.70
Lake,53.40,110.00,11.60,24.20,10.80,38.70,33.50,0.60,13.60,,4.24,138.00
Lake,6.10,108.00,9.10,22.00,10.00,32.60,33.50,1.90,21.20,,4.45,119.80
Lake,53.60,132.70,17.00,28.60,9.50,42.00,45.30,6.10,27.30,,7.07,127.30
Lake,87.10,154.20,8.70,25.30,4.10,25.50,37.80,0.70,3.60,,4.80,123.00
Lake,101.50,158.20,6.90,25.00,5.60,31.30,38.30,0.70,0.50,,4.31,124.40
Lake,130.30,213.80,10.20,34.00,3.80,38.60,52.50,3.00,5.00,,6.26,133.90
Lake,38.52,74.85,9.59,20.45,8.96,42.80,31.76,5.32,0.63,5.66,0.85,88.61
Lake,35.73,118.26,18.61,20.94,9.73,41.15,28.28,-1.16,0.00,5.67,2.42,87.78
Lake,25.23,103.29,9.31,21.90,8.70,46.09,25.67,0.39,0.03,5.70,0.67,107.12
Lake,35.77,102.79,7.05,21.23,7.17,41.97,22.19,0.72,1.71,5.60,2.77,85.28
Lake,47.49,95.81,8.74,21.16,9.73,43.62,26.10,-0.17,0.23,5.81,5.95,69.47
Lake,41.71,92.81,11.56,25.00,13.57,46.91,30.45,16.95,11.99,5.80,8.56,86.74
Lake,36.50,90.32,5.64,17.13,5.89,38.68,23.49,4.76,0.42,5.91,2.73,52.42
Lake,61.93,98.80,7.61,19.70,7.94,43.62,26.10,4.16,1.53,5.97,5.66,53.04
Lake,53.67,98.30,10.40,20.87,7.17,43.62,30.89,5.54,7.72,5.62,6.66,63.79
Lake,59.06,90.16,8.40,16.75,5.32,38.59,26.24,-0.04,0.07,6.08,2.54,41.55
Lake,59.01,82.62,9.21,17.64,8.24,37.84,26.05,0.42,2.66,6.14,6.13,51.55
Lake,31.90,100.80,37.22,23.04,14.08,43.62,50.03,0.33,0.42,5.97,1.17,84.03
Lake,43.50,97.31,12.69,20.00,8.19,43.62,30.89,0.33,2.64,6.22,2.06,68.02
Lake,60.96,101.80,14.38,21.80,8.70,50.20,32.63,2.99,1.42,6.30,1.83,70.10
Lake,53.74,102.79,27.92,19.62,6.91,41.97,35.67,0.22,0.27,6.52,2.27,61.78
Lake,54.08,98.80,23.89,19.38,5.63,41.15,30.89,2.05,1.94,5.99,3.22,60.23
Lake,58.59,93.97,26.36,19.60,6.23,42.56,35.79,0.71,0.00,6.67,1.81,48.82
Lake,61.79,97.82,27.21,20.08,6.95,43.52,38.91,1.61,2.50,6.12,2.49,50.36
Lake,-25.75,33.93,5.08,20.80,5.38,10.70,5.66,1.44,0.56,4.50,0.19,52.42
Lake,-9.44,40.42,6.49,17.20,7.17,13.99,6.09,0.06,0.48,4.64,1.99,48.88
Lake,2.21,39.92,5.92,17.42,7.42,11.52,4.35,34.96,2.21,4.84,1.77,42.22
Lake,-0.59,32.81,9.41,15.96,9.23,10.85,10.06,26.02,1.65,4.81,2.11,28.46
Lake,-14.80,21.36,4.95,15.68,6.56,8.93,6.66,1.43,0.00,4.56,0.75,20.56
Lake,-28.97,22.93,3.66,16.83,6.89,9.29,4.44,1.53,0.00,4.52,0.06,17.61
Lake,-11.63,27.62,5.50,15.67,7.77,9.68,5.66,12.12,0.29,4.64,1.23,20.28
Lake,-14.38,32.18,9.02,18.00,9.12,11.09,9.72,10.04,2.61,4.61,1.30,24.06
Lake,2.80,23.58,6.18,12.10,7.60,7.93,5.94,15.84,0.85,4.90,1.69,18.13
Lake,-2.80,27.45,4.51,11.00,6.66,16.46,1.74,-0.61,0.42,5.14,0.10,54.70
