WATERBODY_TYPE,ANC_UEQ_L (Acid Neutralizing Capacity),CA_UEQ_L (Calcium),CL_UEQ_L (Chloride),COND_UM_CM (Conductivity),K_UEQ_L (potassium),MG_UEQ_L (magnesium),NA_UEQ_L (sodium),NH4_UEQ_L (Amonium),NO3_UEQ_L (Nitrate),PH_LAB (PH Level),SIO2_MG_L (silicon dioxicde),SO4_UEQ_L (sulfate)
Lake,38.52,74.85,9.59,20.45,8.96,42.8,31.76,5.32,0.63,5.66,0.85,88.61
Lake,35.73,118.26,18.61,20.94,9.73,41.15,28.28,-1.16,0.0,5.67,2.42,87.78
Lake,25.23,103.29,9.31,21.9,8.7,46.09,25.67,0.39,0.03,5.7,0.67,107.12
Lake,35.77,102.79,7.05,21.23,7.17,41.97,22.19,0.72,1.71,5.6,2.77,85.28
Lake,47.49,95.81,8.74,21.16,9.73,43.62,26.1,-0.17,0.23,5.81,5.95,69.47
Lake,41.71,92.81,11.56,25.0,13.57,46.91,30.45,16.95,11.99,5.8,8.56,86.74
Lake,36.5,90.32,5.64,17.13,5.89,38.68,23.49,4.76,0.42,5.91,2.73,52.42
Lake,61.93,98.8,7.61,19.7,7.94,43.62,26.1,4.16,1.53,5.97,5.66,53.04
Lake,53.67,98.3,10.4,20.87,7.17,43.62,30.89,5.54,7.72,5.62,6.66,63.79
Lake,59.06,90.16,8.4,16.75,5.32,38.59,26.24,-0.04,0.07,6.08,2.54,41.55
Lake,59.01,82.62,9.21,17.64,8.24,37.84,26.05,0.42,2.66,6.14,6.13,51.55
Lake,31.9,100.8,37.22,23.04,14.08,43.62,50.03,0.33,0.42,5.97,1.17,84.03
Lake,43.5,97.31,12.69,20.0,8.19,43.62,30.89,0.33,2.64,6.22,2.06,68.02
Lake,60.96,101.8,14.38,21.8,8.7,50.2,32.63,2.99,1.42,6.3,1.83,70.1
Lake,53.74,102.79,27.92,19.62,6.91,41.97,35.67,0.22,0.27,6.52,2.27,61.78
Lake,54.08,98.8,23.89,19.38,5.63,41.15,30.89,2.05,1.94,5.99,3.22,60.23
Lake,58.59,93.97,26.36,19.6,6.23,42.56,35.79,0.71,0.0,6.67,1.81,48.82
Lake,61.79,97.82,27.21,20.08,6.95,43.52,38.91,1.61,2.5,6.12,2.49,50.36
Lake,-25.75,33.93,5.08,20.8,5.38,10.7,5.66,1.44,0.56,4.5,0.19,52.42
Lake,-9.44,40.42,6.49,17.2,7.17,13.99,6.09,0.06,0.48,4.64,1.99,48.88
Lake,2.21,39.92,5.92,17.42,7.42,11.52,4.35,34.96,2.21,4.84,1.77,42.22
Lake,-0.59,32.81,9.41,15.96,9.23,10.85,10.06,26.02,1.65,4.81,2.11,28.46
Lake,-14.8,21.36,4.95,15.68,6.56,8.93,6.66,1.43,0.0,4.56,0.75,20.56
Lake,-28.97,22.93,3.66,16.83,6.89,9.29,4.44,1.53,0.0,4.52,0.06,17.61
Lake,-11.63,27.62,5.5,15.67,7.77,9.68,5.66,12.12,0.29,4.64,1.23,20.28
Lake,-14.38,32.18,9.02,18.0,9.12,11.09,9.72,10.04,2.61,4.61,1.3,24.06
Lake,2.8,23.58,6.18,12.1,7.6,7.93,5.94,15.84,0.85,4.9,1.69,18.13
Lake,-2.8,27.45,4.51,11.0,6.66,16.46,1.74,-0.61,0.42,5.14,0.1,54.7
Lake,-2.17,32.93,4.79,11.78,6.91,18.11,3.48,4.6,1.45,5.16,0.21,56.58
Lake,-1.78,27.94,4.23,10.49,6.91,16.46,3.48,0.61,0.4,5.16,0.12,47.84
Lake,-3.95,30.94,5.36,12.4,7.17,18.93,2.61,1.44,0.66,5.07,0.03,57.62
Lake,-9.21,21.96,3.95,10.89,5.89,14.81,2.61,0.72,0.39,4.98,0.05,43.89
Lake,-1.3,25.95,4.79,11.82,6.4,15.64,2.61,0.06,0.48,4.98,-0.11,52.0
Lake,-25.37,11.98,4.23,15.4,3.58,9.05,3.05,1.39,-0.23,4.47,0.06,45.34
Lake,-19.53,14.97,5.08,12.58,3.07,8.23,2.61,1.22,0.34,4.67,0.15,36.82
Lake,3.84,13.47,4.79,10.01,3.33,5.76,1.74,17.45,4.38,5.02,0.18,27.46
Lake,-18.04,13.97,3.67,11.85,2.3,5.76,0.87,12.41,2.83,4.67,0.22,38.27
Lake,-17.56,16.47,3.67,13.1,3.07,7.41,2.61,-1.39,0.29,4.69,0.24,40.14
Lake,-16.32,16.97,3.38,12.5,2.56,6.58,2.61,-0.33,0.4,4.68,0.36,36.82
Lake,3.02,17.96,5.64,12.57,3.58,8.23,2.61,34.02,3.9,5.02,0.04,44.3
Lake,-10.26,19.46,4.79,13.07,3.07,9.05,3.48,9.86,1.9,4.72,0.21,38.48
Lake,-14.2,17.96,5.36,11.6,3.07,8.23,3.48,0.72,0.4,4.77,0.3,35.98
Lake,-14.66,10.98,5.64,12.8,3.58,7.41,4.79,1.22,2.61,4.7,0.19,29.33
Lake,1.59,18.96,7.61,10.62,4.1,8.23,3.92,13.74,4.03,4.91,-0.27,33.28
Lake,-5.57,17.47,6.77,10.89,3.58,6.58,3.48,0.06,0.24,4.73,0.06,28.91
Lake,-8.79,13.47,4.94,11.31,2.27,6.94,3.84,-0.83,0.37,4.72,0.06,24.46
Lake,-2.01,14.68,5.05,11.27,3.06,7.25,4.56,3.36,0.67,4.79,-0.03,25.82
Lake,2.33,7.09,4.89,9.42,3.31,5.47,3.79,9.9,2.85,4.94,0.13,18.61
Lake,-8.39,12.88,4.15,8.94,2.91,7.15,3.69,0.87,0.0,4.81,0.09,23.88
Lake,-7.67,9.56,4.72,7.62,3.42,6.01,3.46,0.19,0.21,4.87,-0.04,13.23
Lake,10.26,99.8,7.33,17.06,2.56,18.93,25.67,-2.11,1.16,5.64,6.73,101.92
Lake,31.89,83.83,7.9,17.14,3.07,23.87,26.1,0.5,5.28,6.2,9.36,84.24
Lake,-0.81,55.39,3.67,17.38,1.02,9.88,16.1,0.83,27.03,5.11,4.2,70.72
Lake,50.89,74.85,8.74,18.2,2.3,24.69,34.8,2.83,6.23,6.22,8.43,74.26
Lake,8.93,54.89,2.82,14.01,0.51,10.7,16.53,-0.61,1.87,5.38,5.98,69.68
Lake,9.37,64.37,5.36,15.74,2.3,14.81,20.01,-1.05,14.6,5.64,7.39,78.0
Lake,8.6,57.88,5.08,15.58,1.02,13.99,19.14,0.72,16.6,5.34,5.71,78.83
Lake,141.09,129.24,14.1,26.19,3.33,41.15,49.16,8.31,8.48,6.33,10.48,77.38
Lake,16.87,77.35,7.9,17.6,0.77,19.75,24.8,0.72,22.22,5.72,7.39,74.46
Lake,17.89,66.37,5.36,14.8,1.79,18.11,23.49,0.22,24.02,5.74,5.98,56.16
Lake,34.91,67.47,4.44,13.83,0.94,17.97,26.4,-0.04,4.71,6.29,8.34,57.64
Lake,8.68,56.73,6.07,12.5,0.7,13.76,19.71,0.91,3.34,5.73,6.94,54.56
Lake,18.73,57.74,5.86,12.89,0.82,15.41,22.57,0.68,13.1,5.85,6.83,46.81
Lake,65.78,88.55,7.11,19.39,1.21,29.48,36.94,2.33,20.03,6.33,8.59,64.42
Lake,-5.31,24.45,5.92,15.65,8.7,11.52,2.61,5.65,2.28,4.69,0.72,35.57
Lake,-19.8,18.46,5.64,15.81,6.4,9.05,4.35,2.44,0.26,4.59,0.27,29.33
Lake,-6.61,23.95,5.92,15.5,8.45,13.17,3.92,15.96,1.82,4.67,0.65,33.07
Lake,-27.06,21.46,7.33,16.37,7.42,12.35,4.35,0.39,0.35,4.56,-0.08,31.41
Lake,-20.78,27.94,5.36,16.1,8.96,13.17,4.79,0.33,0.53,4.59,0.25,29.12
Lake,-21.68,22.95,5.08,15.8,7.94,12.35,4.35,0.06,0.29,4.58,0.26,25.79
Lake,-19.24,23.45,5.36,16.77,6.91,13.17,3.92,6.37,1.24,4.55,0.48,25.79
Lake,-22.8,21.46,6.49,16.97,6.91,9.88,5.22,-0.61,0.35,4.53,0.24,23.71
Lake,-20.44,20.46,5.92,15.53,6.66,11.52,4.35,-0.22,0.16,4.55,0.28,32.03
Lake,3.27,37.43,6.28,13.93,7.68,11.52,3.48,13.74,2.11,4.85,0.64,24.29
Lake,-22.96,20.36,5.24,14.16,6.13,10.48,3.79,1.28,0.0,4.59,0.33,16.53
Lake,-13.3,17.93,3.89,13.21,5.7,10.19,4.36,1.02,0.0,4.61,0.4,15.24
Lake,120.97,92.53,5.38,19.08,10.54,36.85,4.16,33.86,0.0,6.04,0.82,20.0
Lake,88.93,79.19,4.66,14.65,10.37,31.31,4.27,9.63,0.31,6.36,0.12,13.04
Lake,99.82,74.19,5.02,15.78,10.98,30.21,4.8,30.96,0.53,5.93,0.6,12.74
Lake,76.28,68.31,5.03,13.14,11.43,26.95,4.34,13.57,0.47,6.27,0.46,10.13
Stream,195.01,233.53,11.56,38.15,14.59,97.94,47.42,9.86,10.58,6.75,11.04,117.1
Stream,213.34,213.57,9.87,35.84,9.73,98.76,50.46,1.16,1.64,6.89,10.54,100.67
Stream,244.12,184.15,7.83,35.41,8.58,97.41,45.68,-0.11,0.0,7.01,8.03,70.31
Stream,240.56,198.73,9.34,38.78,9.03,96.09,48.99,4.71,8.85,6.79,11.22,83.53
Stream,227.01,174.15,7.86,34.5,7.52,85.8,45.17,0.35,0.0,7.21,8.37,78.14
Lake,-24.04,32.44,7.9,23.29,5.38,12.35,13.05,1.44,15.41,4.54,2.11,91.94
Lake,-21.68,35.43,7.05,23.36,5.38,13.17,13.92,1.94,13.91,4.63,0.63,102.34
Lake,-19.68,37.92,7.9,25.08,6.14,12.35,15.23,0.11,18.68,4.51,1.44,97.55
Lake,-51.26,31.59,6.9,32.1,8.09,11.27,14.83,6.6,46.62,4.25,2.7,68.33
Lake,-1.58,28.44,7.61,20.63,6.91,8.23,12.18,13.52,27.1,4.9,2.98,73.42
Lake,-6.19,31.94,7.9,20.39,5.89,12.35,16.1,12.47,8.16,4.78,2.34,88.61
Lake,-9.48,26.95,10.72,19.9,5.63,9.88,13.49,8.37,7.82,4.74,2.07,79.46
Lake,-19.62,25.45,6.2,21.38,5.89,10.7,14.79,0.33,13.43,4.57,2.12,71.55
Lake,-6.27,23.95,5.64,16.0,2.3,7.41,12.18,0.44,1.18,4.72,0.73,65.31
Lake,-14.64,19.17,5.1,14.14,4.47,7.48,12.77,0.36,2.32,4.76,1.08,40.23
Lake,-24.9,69.86,8.46,28.94,6.91,15.64,17.4,2.22,31.88,4.58,2.63,135.82
Lake,-13.64,60.88,7.33,24.24,7.17,16.46,15.66,1.61,28.32,4.75,2.35,111.9
Lake,-10.39,58.38,8.18,24.7,7.42,16.46,17.4,5.21,22.57,4.84,2.48,115.86
Lake,-5.23,66.46,20.33,23.46,8.39,16.9,22.81,6.17,25.25,4.86,2.45,120.17
Lake,-13.12,60.38,17.77,30.17,7.68,13.99,23.06,2.55,37.99,4.63,2.99,109.41
Lake,-7.08,52.89,7.33,21.79,5.89,14.81,16.1,2.27,22.56,4.94,1.4,104.21
Lake,-0.96,52.4,7.05,19.1,6.4,14.81,17.4,1.55,12.96,5.08,1.97,104.0
